filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
WSCT2260.JPG,2192898,"{}",0,0,"{}","{}"
WSCT2261.JPG,2191395,"{}",0,0,"{}","{}"
WSCT2262.JPG,2192017,"{}",1,0,"{""name"":""rect"",""x"":593,""y"":967,""width"":85,""height"":48}","{""Insect"":{""Carabid"":true}}"
WSCT2263.JPG,2189248,"{}",1,0,"{""name"":""rect"",""x"":3663,""y"":2023,""width"":93,""height"":119}","{""Insect"":{""Carabid"":true}}"
WSCT2264.JPG,2192722,"{}",0,0,"{}","{}"
WSCT2265.JPG,2190548,"{}",0,0,"{}","{}"
WSCT2266.JPG,2193578,"{}",1,0,"{""name"":""rect"",""x"":1088,""y"":469,""width"":72,""height"":53}","{""Insect"":{""Carabid"":true}}"
WSCT2267.JPG,2191124,"{}",1,0,"{""name"":""rect"",""x"":1512,""y"":840,""width"":50,""height"":53}","{""Insect"":{""Carabid"":true}}"
WSCT2268.JPG,2196644,"{}",1,0,"{""name"":""rect"",""x"":1621,""y"":789,""width"":50,""height"":53}","{""Insect"":{""Carabid"":true}}"
WSCT2269.JPG,2201265,"{}",0,0,"{}","{}"
WSCT2270.JPG,2210562,"{}",1,0,"{""name"":""rect"",""x"":1642,""y"":990,""width"":53,""height"":77}","{""Insect"":{""Carabid"":true}}"
WSCT2271.JPG,2205829,"{}",1,0,"{""name"":""rect"",""x"":2007,""y"":1239,""width"":53,""height"":40}","{""Insect"":{""Carabid"":true}}"
WSCT2272.JPG,2220924,"{}",1,0,"{""name"":""rect"",""x"":2362,""y"":1406,""width"":50,""height"":64}","{""Insect"":{""Carabid"":true}}"
WSCT2273.JPG,2222376,"{}",2,0,"{""name"":""rect"",""x"":2251,""y"":1496,""width"":56,""height"":77}","{""Insect"":{""Carabid"":true}}"
WSCT2273.JPG,2222376,"{}",2,1,"{""name"":""rect"",""x"":585,""y"":572,""width"":106,""height"":58}","{""Insect"":{""Carabid"":true}}"
WSCT2274.JPG,2229012,"{}",1,0,"{""name"":""rect"",""x"":1875,""y"":1753,""width"":56,""height"":69}","{""Insect"":{""Carabid"":true}}"
WSCT2275.JPG,2235676,"{}",1,0,"{""name"":""rect"",""x"":1864,""y"":1745,""width"":66,""height"":79}","{""Insect"":{""Carabid"":true}}"
WSCT2276.JPG,2189998,"{}",1,0,"{""name"":""rect"",""x"":1875,""y"":1745,""width"":45,""height"":74}","{""Insect"":{""Carabid"":true}}"
WSCT2277.JPG,2249860,"{}",1,0,"{""name"":""rect"",""x"":1870,""y"":1756,""width"":61,""height"":72}","{""Insect"":{""Carabid"":true}}"
WSCT2278.JPG,2250932,"{}",1,0,"{""name"":""rect"",""x"":1862,""y"":1732,""width"":64,""height"":95}","{""Insect"":{""Carabid"":true}}"
WSCT2279.JPG,2258545,"{}",1,0,"{""name"":""rect"",""x"":1872,""y"":1753,""width"":72,""height"":66}","{""Insect"":{""Carabid"":true}}"
WSCT2280.JPG,2209331,"{}",1,0,"{""name"":""rect"",""x"":1870,""y"":1745,""width"":50,""height"":69}","{""Insect"":{""Carabid"":true}}"
WSCT2281.JPG,2195187,"{}",1,0,"{""name"":""rect"",""x"":1878,""y"":1743,""width"":42,""height"":66}","{""Insect"":{""Carabid"":true}}"
WSCT2282.JPG,2198478,"{}",1,0,"{""name"":""rect"",""x"":1862,""y"":1761,""width"":53,""height"":72}","{""Insect"":{""Carabid"":true}}"
WSCT2283.JPG,2270673,"{}",1,0,"{""name"":""rect"",""x"":1864,""y"":1756,""width"":50,""height"":66}","{""Insect"":{""Carabid"":true}}"
WSCT2284.JPG,2278822,"{}",1,0,"{""name"":""rect"",""x"":1862,""y"":1774,""width"":50,""height"":69}","{""Insect"":{""Carabid"":true}}"
WSCT2285.JPG,2204179,"{}",1,0,"{""name"":""rect"",""x"":1867,""y"":1745,""width"":56,""height"":74}","{""Insect"":{""Carabid"":true}}"
WSCT2286.JPG,2286895,"{}",1,0,"{""name"":""rect"",""x"":1872,""y"":1737,""width"":42,""height"":77}","{""Insect"":{""Carabid"":true}}"
WSCT2287.JPG,2292989,"{}",1,0,"{""name"":""rect"",""x"":1856,""y"":1737,""width"":61,""height"":82}","{""Insect"":{""Carabid"":true}}"
WSCT2288.JPG,2296232,"{}",1,0,"{""name"":""rect"",""x"":1859,""y"":1753,""width"":50,""height"":72}","{""Insect"":{""Carabid"":true}}"
WSCT2289.JPG,2298097,"{}",0,0,"{}","{}"
WSCT2290.JPG,2309097,"{}",1,0,"{""name"":""rect"",""x"":1846,""y"":1758,""width"":48,""height"":40}","{""Insect"":{""Carabid"":true}}"
WSCT2291.JPG,2311151,"{}",1,0,"{""name"":""rect"",""x"":1891,""y"":1679,""width"":34,""height"":40}","{""Insect"":{""Carabid"":true}}"
WSCT2292.JPG,2315794,"{}",1,0,"{""name"":""rect"",""x"":1637,""y"":1398,""width"":61,""height"":69}","{""Insect"":{""Carabid"":true}}"
WSCT2293.JPG,2319484,"{}",0,0,"{}","{}"
WSCT2294.JPG,2322128,"{}",0,0,"{}","{}"
WSCT2295.JPG,2325274,"{}",0,0,"{}","{}"
WSCT2296.JPG,2328849,"{}",0,0,"{}","{}"
